"flat";"down";"up"
"0.16";4;2;2
"0.41";4;2;2
"0.48";4;2;2
"0.55";4;4;2
"000";10;16;22
"002";6;2;2
"1.02";4;2;6
"1.04";4;2;2
"1.07";3;2;2
"1.32";4;4;2
"1.5";4;2;7
"10";24;56;87
"10.06";3;2;2
"10.4";3;2;3
"10.8";4;2;2
"100";7;7;13
"10002.58";4;4;2
"1001";4;2;2
"11";7;20;25
"1166";4;2;2
"119";4;2;4
"12";5;43;34
"12.43";4;2;2
"12.56";4;4;2
"122";3;2;3
"124";3;5;4
"13";6;15;11
"13.8";3;2;3
"1324";4;2;2
"1393";6;2;2
"14";8;16;24
"15";16;32;32
"150";9;3;9
"1560";3;2;2
"16";7;36;48
"160";4;3;10
"17";6;14;11
"18";3;9;12
"18.79";4;2;2
"19";3;8;9
"2.5";4;3;5
"2.52";3;2;2
"20";9;15;15
"200";7;24;21
"2000";3;8;4
"2007";3;2;8
"2013";6;14;7
"2014";12;13;20
"2015";10;21;15
"2016";5;8;5
"2040";3;3;2
"2070";3;3;2
"2125.05";3;2;3
"22";3;5;20
"23";7;7;6
"2303";3;8;16
"2311";4;10;18
"2317";15;13;17
"2330";58;170;202
"2379";3;6;3
"2395";4;2;2
"24";6;6;7
"24.96";4;2;2
"2409";3;4;11
"2449";4;2;2
"2454";10;16;22
"2474";6;4;4
"25";6;15;13
"25.7";4;2;2
"2592.93";4;2;4
"26";6;21;12
"27";17;15;6
"28";4;20;10
"28.99";4;2;2
"2880";4;2;2
"2888";5;2;2
"29";6;13;10
"29.66";4;2;2
"2912";4;2;4
"3.1";4;5;2
"3.27";4;2;2
"3.4";3;2;4
"3.8";3;5;5
"3.82";4;2;2
"3.88";4;2;2
"30";6;13;21
"300";4;17;17
"3008";6;25;33
"31";3;17;5
"321";4;2;2
"3264";4;4;2
"3289";3;2;2
"33.2";6;2;2
"3374";6;12;9
"3474";6;4;2
"3532";3;3;4
"3587";3;2;2
"36";3;2;5
"3658";5;9;23
"376.5";3;2;2
"4.38";4;2;2
"4.5";4;5;14
"4.9";3;5;2
"400";3;9;9
"41";3;2;3
"410";3;2;2
"42";6;4;7
"450";4;5;2
"460";3;2;2
"47";3;3;2
"4736";3;2;2
"478";3;2;2
"4938";4;7;3
"497";3;2;2
"5.25";3;2;2
"5.48";3;2;2
"500";17;17;24
"503";4;3;2
"51.6";4;2;2
"52.8";4;2;2
"54.2";4;2;2
"5443";3;2;2
"59.84";4;2;2
"593";4;4;2
"6.04";3;2;2
"600";14;25;17
"6257";4;2;3
"63";3;2;2
"645.14";3;2;3
"665";4;2;3
"673";3;2;2
"69.52";4;4;2
"697.45";3;2;2
"699";3;2;2
"7.5";4;3;3
"700";5;2;7
"72.41";6;2;2
"736";3;2;2
"74.23";6;2;2
"761.31";4;2;2
"775";4;2;2
"794";3;2;2
"800";3;12;7
"8044";3;2;2
"8056";4;2;2
"8150";4;2;2
"820";3;2;5
"822";4;2;2
"823.81";3;2;2
"843";3;2;2
"8445";3;2;3
"8457.4";3;2;2
"8544";3;2;2
"860";3;2;2
"9.4";3;2;2
"9.53";4;2;2
"90";3;2;2
"9056";3;2;2
"91";4;2;2
"91.06";3;2;2
"92";8;2;4
"9450";4;2;2
"9500";6;13;6
"9503";4;2;2
"9529.51";4;2;2
"9533.38";4;2;2
"9596.24";4;2;2
"9673";3;2;2
"9683";3;2;2
"973";4;2;2
"9973.12";4;2;2
"9998.08";4;2;2
"A10";3;6;3
"A8";6;2;6
"ADR";4;9;10
"Air";4;2;2
"Alcoa";4;2;2
"Altera";6;2;4
"Apple";7;9;7
"BBR";3;2;2
"Bill";4;2;3
"CEA";3;2;2
"ECB";4;10;7
"Fab15";4;2;2
"FDX";3;2;2
"Fed";9;12;10
"FOMC";3;3;3
"Forbes";3;2;2
"FPGA";4;4;2
"Genentech";4;2;2
"GF";3;2;2
"Gilead";4;2;2
"Global";3;2;2
"Holdings";3;2;2
"IC";11;33;23
"index";3;2;2
"iPad";4;3;3
"iPhone";5;10;19
"JD";3;2;2
"K2K";4;2;2
"KD";3;3;4
"Kos";4;2;2
"LED";3;6;2
"LTE";4;2;2
"Macbook";4;2;2
"Materials";4;3;2
"MSCI";7;15;16
"MWC";8;2;5
"NXP";3;2;2
"patient";3;2;2
"PCB";4;4;4
"QE";4;12;15
"QE3";4;2;2
"S6";4;2;4
"semi";3;2;3
"SEMI";4;4;14
"SMIC";3;2;2
"Snapdragon";3;3;5
"SoFIA";6;2;2
"TWSESCI";3;2;3
"Type";3;4;3
"United";3;2;2
"USB";3;4;2
"Watch";6;4;4
"阿爾特";4;2;2
"八點";3;2;2
"八三";3;2;2
"巴克萊";3;6;4
"半邊天";4;2;2
"半導體";36;82;90
"半導體技術";3;2;2
"半導體業";4;6;6
"保戶";3;2;2
"保留盈餘";4;2;2
"保衛戰";4;7;4
"報酬";3;2;3
"報告";3;22;24
"北美";4;4;5
"備受";4;3;2
"備受矚目";4;2;2
"備太多";3;2;2
"備戰";4;2;2
"本波";4;2;2
"本業";3;2;2
"辨識";4;3;4
"表現";4;19;19
"併購";4;3;4
"並未";4;6;3
"並無太大";4;2;2
"並以";3;3;8
"不變";3;7;10
"不錯";4;4;3
"不淡";3;8;9
"不夠";4;2;2
"不過";20;40;59
"不會";3;8;9
"不落人後";3;4;2
"不輕";4;2;3
"不確定性";5;2;4
"不容樂觀";4;2;2
"不少台";4;2;2
"不約而同";4;2;3
"不漲";3;2;4
"財產";3;2;2
"參與";3;13;7
"操盤";3;2;2
"策略性";4;2;2
"曾銘宗";4;2;4
"產業";6;12;13
"常會";3;2;2
"廠商";4;9;8
"撐住";4;2;2
"成長";5;18;22
"成交量";4;9;10
"成康";4;2;3
"成為";7;14;15
"呈現";6;31;22
"吃緊";3;4;2
"持續";5;15;19
"充電";4;5;2
"充滿";4;2;2
"出貨";5;10;23
"出來";4;2;2
"出籠";4;7;4
"出爐";7;5;15
"出現";14;49;51
"除息";3;2;2
"傳產";4;5;6
"傳出";6;12;15
"傳台";3;2;2
"傳聞";4;2;3
"傳言";4;4;5
"創辦人";4;2;5
"創高";4;4;6
"創下";11;19;22
"創新";8;11;20
"創新力";4;2;2
"創業";4;2;2
"創意";4;8;2
"春節";4;2;4
"純益";3;11;6
"慈昨";4;2;2
"促使";4;2;2
"達克";6;2;2
"大寶";4;20;10
"大廠";12;26;11
"大關";7;24;17
"大戶";4;4;5
"大會";4;3;2
"大立";3;3;6
"大立光";6;8;24
"大陸";5;15;20
"大盤";11;57;50
"大企";4;2;2
"大勢所趨";3;2;2
"大受歡迎";3;2;2
"大於";4;2;7
"大戰";4;2;2
"大漲";6;24;54
"代工";3;7;7
"代工廠";5;9;10
"代價";4;2;2
"帶動";8;16;28
"帶來";6;7;2
"單筆";4;2;2
"單月";4;2;3
"但多空";3;2;2
"倒數";4;6;3
"導致";3;14;9
"德股";6;2;2
"德國";3;3;2
"登場";4;4;2
"等功";4;2;2
"低標";3;2;2
"低點";6;11;15
"低功耗";3;2;2
"低於";5;11;5
"電子";5;6;11
"訂單";9;6;5
"丟回";3;2;2
"董監";4;2;2
"董監事";4;2;2
"董事長";3;5;7
"動盪";3;5;12
"動能";5;10;18
"動態";3;2;3
"動向";4;5;6
"動作";5;8;8
"獨角獸";3;2;2
"堆高";4;2;2
"對比";6;2;2
"對決";3;2;3
"對台";3;5;4
"對於";5;13;5
"多單";4;4;8
"多獲";4;2;2
"多數";5;9;6
"多頭";16;25;25
"恩智浦";3;2;2
"二檔";4;4;2
"二天";4;2;2
"二線";4;4;4
"二項";3;2;2
"發酵";3;2;2
"廢除";3;4;3
"法人";6;4;13
"法說";3;18;13
"反彈";12;28;47
"反應";3;5;11
"反轉";3;2;4
"方德";3;4;2
"分別";12;10;9
"分大單";4;2;2
"分數";4;2;2
"分析師";14;44;63
"封關";9;2;11
"符合";4;3;2
"復華";4;2;4
"復活";3;2;2
"復甦";3;6;5
"富邦";3;2;6
"富比";3;2;2
"改寫";6;2;3
"改選";4;3;2
"干擾";3;3;4
"高點";4;5;6
"格羅";3;4;2
"各廠";4;2;2
"各類";3;4;4
"各項";3;2;2
"個股";11;34;34
"根據";4;3;4
"工業用水";4;2;2
"公布";4;4;2
"公噸";4;3;3
"公股";3;4;9
"公開市場";3;3;3
"公司債";3;4;3
"公證";3;2;2
"供電";3;2;2
"供應";3;3;4
"供應鏈";8;12;37
"股本";4;2;2
"股東會";6;3;4
"股價";7;18;31
"股民";3;2;2
"股市";3;2;7
"股息";4;4;5
"固態";3;2;2
"固樁";4;2;2
"僱用";4;2;2
"光將";3;2;2
"光學";4;2;4
"規模";3;2;3
"郭台銘";3;2;2
"國安";5;6;10
"國發";6;3;2
"國會";3;3;2
"國際";25;44;40
"國際金融";3;3;3
"國家";3;4;5
"國巨";4;2;2
"國聯";6;13;7
"國民黨";3;2;3
"國內";7;9;19
"國內法";3;2;3
"國泰";10;13;17
"過年";3;2;2
"行動";4;4;2
"合併";4;14;16
"合計";4;4;6
"合約";3;16;12
"合作";4;2;2
"何時";4;2;3
"和後段";4;2;2
"鴻海";7;2;4
"後市";4;9;9
"呼籲";3;2;3
"互補";3;3;2
"互異";4;2;2
"華電";4;2;2
"回補";4;5;8
"回測";6;21;9
"回檔";6;14;7
"回歸";3;2;3
"回來";4;2;2
"回穩";4;3;12
"回應";4;4;4
"匯兌";4;2;3
"匯入";3;4;3
"匯市";3;6;8
"會後";3;4;2
"夥伴";4;3;8
"獲利";7;14;10
"基礎";4;2;2
"基金";3;6;9
"基金會";3;2;3
"機會";5;7;3
"積電";4;7;6
"及美股";4;2;2
"即將";8;14;17
"急攻";4;2;2
"急起直追";5;2;3
"集團";4;4;7
"技嘉";4;2;2
"技術";9;12;8
"技術指標";3;2;2
"季財報";10;10;8
"季財測";4;4;3
"季間";4;2;2
"季節";4;2;2
"季線";9;14;11
"季營";3;5;5
"季營收";4;7;3
"季至";4;3;2
"記憶體";4;4;2
"加劇";4;3;4
"加碼";4;13;20
"加權指數";8;35;41
"加溫";4;2;7
"加徵";4;2;2
"價差";5;27;21
"價格";4;12;5
"價量";4;4;4
"價位";4;3;4
"減緩";4;2;2
"檢測";3;2;2
"將呈";4;2;2
"將待";3;2;2
"將繼";4;2;2
"將球";3;2;2
"將是";4;2;10
"將台";5;4;3
"將以";4;2;4
"將有";4;5;2
"將在";4;6;3
"交叉";3;2;2
"交期";3;5;2
"接班";3;2;2
"接班人";3;2;2
"接續";4;2;2
"揭曉";4;2;2
"結算";5;10;10
"解決方案";3;2;2
"解盲";4;2;2
"解析度";4;2;2
"介紹";4;2;2
"今摩台";4;2;2
"今日";6;5;5
"今天";4;6;7
"今早";8;26;26
"金額";3;5;3
"金管會";4;2;6
"金融股";3;2;6
"僅聯";3;3;2
"僅台";3;2;3
"京元電";4;2;2
"晶片";11;10;9
"晶圓";3;7;5
"經濟";10;5;7
"景氣";5;11;12
"就業";4;8;4
"劇烈";3;3;2
"據統計";3;2;2
"捐出";3;2;2
"決定";3;2;2
"均豪";3;2;2
"均華";3;2;2
"卡位";5;3;5
"開出";4;5;7
"開盤";4;2;6
"凱基";6;12;3
"看好";3;5;4
"可成";4;3;3
"可達";4;4;2
"可選台";4;2;2
"可轉債";3;2;2
"客戶";5;14;9
"控管";4;3;3
"叩關";4;3;6
"庫存";4;4;11
"寬度";3;2;2
"寬鬆";10;11;2
"困案";3;2;2
"拉動";4;2;2
"來到";15;46;40
"來看";7;8;9
"來期";4;2;2
"來自";4;2;6
"冷凍";4;2;2
"禮物";3;2;2
"力駁";4;2;2
"力守";4;9;7
"立法院";4;2;2
"歷年";4;2;2
"聯電";4;4;9
"聯發科";3;4;5
"聯網";3;7;6
"兩大";8;5;11
"兩天";3;5;7
"兩月營";3;2;2
"量產";4;2;2
"列車";4;4;4
"流動性";4;2;2
"龍頭";4;4;2
"陸續";4;2;2
"亂流";3;2;2
"呂穎彰";4;2;2
"買進";3;3;2
"賣壓";4;4;3
"沒有";4;3;3
"媒體";4;2;4
"每股";3;7;4
"每位";3;2;2
"美股";4;8;11
"美國";5;12;2
"民進黨";3;2;2
"名衝";4;2;2
"名單";4;4;4
"摩台期";4;2;4
"拿下";4;2;2
"那斯";6;2;2
"奈米";5;22;10
"南僑";4;2;2
"內部";4;3;2
"內資";3;10;4
"年來";6;2;5
"年輕人";4;3;2
"年終";3;3;3
"廿五";3;2;2
"牛仔褲";3;2;2
"歐美";3;2;6
"歐台期";4;4;8
"歐系";5;4;4
"歐洲";4;2;4
"排名";4;2;4
"判斷";4;2;5
"培養";4;2;2
"噴嚏";4;2;2
"平倉";3;7;11
"平盤";4;11;10
"屏息以待";4;6;2
"評鑑";6;4;5
"蘋果";6;14;16
"七千萬";3;2;2
"期間";4;4;3
"其趣";4;2;2
"其餘";4;6;3
"企圖";5;3;4
"企業";14;29;41
"啟動";6;6;11
"汽車";3;3;3
"千點";3;2;3
"千億美元";3;2;2
"前波";3;6;5
"前高";3;2;3
"前即";3;2;2
"前拉出";4;2;2
"前緣";4;2;2
"錢冠州";4;3;4
"強調";5;2;5
"強勢";6;10;12
"強心針";3;4;2
"清明節";4;2;2
"傾向";6;2;2
"情況";5;7;3
"情怯";4;5;2
"區間";3;8;6
"全年";3;3;4
"全球";3;4;4
"全數";8;17;14
"權值";6;11;8
"權重";4;4;2
"卻是";3;4;2
"確定";3;2;2
"熱錢";4;4;2
"人才";4;2;3
"人臉";4;4;4
"仍未明";4;2;2
"日島";3;2;2
"日刊";4;2;2
"融券";4;3;4
"如聯";3;2;2
