"time";"keyWords"
"2015-03-30";"動能,台股,上漲,2330,不過,2317,大盤,指期,指數,27,Altera,傳出,則再,半導體,分析師,併購,傳言,台積電,台積,2330,季線,回穩,中國,一帶,亞股,9533.38,9450,今摩台,29.66,今早,周期,市場,26,壓回,加劇,20,503,收盤,支撐,國際,上櫃,3374,凱基,iPhone,億元,iPad,台積電,吸睛,150,42,台股,回檔,可選台,保衛戰,29,2330,500,投資人,國際,兆豐,Altera,傳出,則再,半導體,分析師,併購,傳言,台積電,台積,2330,摩台期,結算,作價,外資,今日,促使,協理,低點,作帳,來到,動能,台股,上漲,2330,不過,2317,大盤,指期,指數,27,賣壓,台積電,權值,持續,2330,中聯,噴嚏,亞股,台股,情況,上櫃,3374,凱基,iPhone,億元,iPad,台積電,吸睛,150,42,台股,回檔,可選台,保衛戰,29,2330,500,投資人,國際,兆豐,獲利,台股,企業,傳產,修台,並無太大,2014,2015,傾向,上漲,季線,回穩,中國,一帶,亞股,9533.38,9450,今摩台,29.66,今早,賣壓,台積電,權值,持續,2330,中聯,噴嚏,亞股,台股,情況,周期,市場,26,壓回,加劇,20,503,收盤,支撐,國際,Altera,一筆,42,54.2,500,3374,2330,10.8,25.7,52.8,預期,股本,將呈,反彈,專家,國聯,及美股,傾向,周將,清明節,摩台期,結算,作價,外資,今日,促使,協理,低點,作帳,來到,台股,二天,企圖,9500,低點,2395,力守,外資,9503,主軸,股價,季線,南僑,回測,互異,其趣,3.82,外資,對比,2330,台股,二天,企圖,9500,低點,2395,力守,外資,9503,主軸,股價,季線,南僑,回測,互異,其趣,3.82,外資,對比,2330,預期,股本,將呈,反彈,專家,國聯,及美股,傾向,周將,清明節,Altera,一筆,42,54.2,500,3374,2330,10.8,25.7,52.8,獲利,台股,企業,傳產,修台,並無太大,2014,2015,傾向,上漲"
"2015-08-19";"儘管,全數,亞股,加權指數,候選人,市場,急殺,憂慮,中場,再現,8000,指數,台股,大關,10,7800,年線,市場,專家,後市,業績,2330,優質,光寶,個股,2301,18,2357,12,200"
"2015-10-12";"果粉,三星,台積電,台積,台港,CPU,優於,A9,並給,中央處理器,市場,台股,維持,走高,上周,分析師,亞洲,延後,帶動,持續,台股,證券,指數,推估,250,則升評,上調,動能,下檔,加溫,大漲,台塑,3.4,台股,Fed,亞股,四寶,企業,上證,值股,訂單,精材,晶圓,母公司,3374,iPhone,台積電,2330,上櫃,同時,台塑,新高,創本,季為,98,四寶,家創,低檔,年線,500,亞科,召開,台股,8445,仍難,1000,因美,國聯,半導體,作收"
"2015-03-20";"急起直追,2317,可成,債務,2330,希臘,國內,成為,急攻,2474,半導體,訂單,製造商,設備,出貨,SEMI,北美,1.04,1.02,Bill,半導體,訂單,製造商,設備,出貨,SEMI,北美,1.04,1.02,Bill,台股,歐系,指數,外資,移除,2912,2454,出現,名單,勝敗,急起直追,2317,可成,債務,2330,希臘,國內,成為,急攻,2474,台股,歐系,指數,外資,移除,2912,2454,出現,名單,勝敗,外資,聲明,要角,匯市,匯入,patient,台灣,FOMC,十檔,公開市場,指標,100,S6,台股,2317,技術,多頭,指標股,指數,2330,奈米,台積電,10,製程,訂單,阿爾特,英特爾,夥伴,14,A8,奈米,台積電,10,製程,訂單,阿爾特,英特爾,夥伴,14,A8,前高,機會,以來,10,699,31,19,736,國聯,2007,指標,100,S6,台股,2317,技術,多頭,指標股,指數,2330"
"2015-11-29";"童子,優秀人才,創造條件,動態,創造,令人擔心,不斷,優質,台灣,28,市場,國安,安定,基金,25,億元,召開,000,1.,啟動,自動化,5443,供應商,不僅,企業,LG,國內,不淡,均豪,1.2,部發,償還,勞動,南山人壽,出訪,MSCI,合庫,內政,執照,國內"
"2015-04-16";"履約,OI,Put,平倉,10,合約,000,選擇權,Call,200,英特爾,月光,2325,一掃,反彈,IC,2311,外資,單賣,展開,指期,月台,5000,4088,半導體,並留,單轉,墊高,倉到,壓低,微科,77,估漢,來到,事實上,3658,2330,25,供應鏈,2300,大關,市場,兩天,2330,8446,帶動,指標,文創類,15,台積電,外資,台股,重挫,並回測,15,做空,國際,大舉,季線,出現,預期,財測,億元,合乎,次高,48.5,2220.3,49.3,16,2240,加權指數,反彈,一舉,億元,上漲,9656.87,116.81,受美股,1005.52,9600,外資,台股,重挫,並回測,15,做空,國際,大舉,季線,出現,履約,OI,Put,平倉,10,合約,000,選擇權,Call,200,指期,月台,5000,4088,半導體,並留,單轉,墊高,倉到,壓低,英特爾,月光,2325,一掃,反彈,IC,2311,外資,單賣,展開,大關,市場,兩天,2330,8446,帶動,指標,文創類,15,台積電,微科,77,估漢,來到,事實上,3658,2330,25,供應鏈,2300,預期,財測,億元,合乎,次高,48.5,2220.3,49.3,16,2240,加權指數,反彈,一舉,億元,上漲,9656.87,116.81,受美股,1005.52,9600"
"2015-01-23";"億美元,蘋果,仍為,22,7.2,三星電子,579,Gartner,兩家,17,股價,145,22,2330,上漲,142,以來,3.5,價位,15,召開,多頭,ECB,再創,QE,3008,145,14,2330,兩檔,歐洲,QE,外資,大漲,台股,傳出,大立光,出爐,帶頭,10,漲勢,上漲,QE,出現,9400,73,助陣,亞股,大於,台股,走勢,電子,漲勢,期貨,之後,兇猛,兩檔,呈現,2317,午盤,走勢,電子,漲勢,期貨,之後,兇猛,兩檔,呈現,2317,午盤,召開,多頭,ECB,再創,QE,3008,145,14,2330,兩檔,股價,145,22,2330,上漲,142,以來,3.5,價位,15,漲勢,上漲,QE,出現,9400,73,助陣,亞股,大於,台股,漢微科,不過,3658,先進,佳績,動能,報告,DRAM,增溫,創下,億美元,蘋果,仍為,22,7.2,三星電子,579,Gartner,兩家,17,歐洲,QE,外資,大漲,台股,傳出,大立光,出爐,帶頭,10,漢微科,不過,3658,先進,佳績,動能,報告,DRAM,增溫,創下"
"2015-02-11";"歷史,台股,元月,元件,新高,台積電,完畢,77,市場,收創,買盤,成長,表現,營收,法人,多落,強勁,個股,強勢,奧援,營收,蘋果,歷史,供應鏈,上市,新高,2.6,創下,台股,77,現金,股利,4.5,台積,股息,昨天,142.5,加碼,台積電,2330,台積,4.5,3.86,加碼,億元,2330,台積電,同樣,149,2592.93,台股,推升,三大,加權指數,全線,9488,68.52,上漲,呈現,反彈,歷史,台股,元月,元件,新高,台積電,完畢,77,市場,收創,指期,帶動,上漲,亞股,84803,30,但台,18,9462,價差,配發,台積電,現金,股利,推估,166,億元,外資,呼應,4.5,億美元,市值,企業,Mobil,3870,7000,億元,22,7107,10,現金,股利,4.5,台積,股息,昨天,142.5,加碼,台積電,2330,台股,推升,三大,加權指數,全線,9488,68.52,上漲,呈現,反彈,台積,4.5,3.86,加碼,億元,2330,台積電,同樣,149,2592.93,億美元,市值,企業,Mobil,3870,7000,億元,22,7107,10,買盤,成長,表現,營收,法人,多落,強勁,個股,強勢,奧援,指期,帶動,上漲,亞股,84803,30,但台,18,9462,價差,來到,元月,個別,2330,9470,70,149,動向,創新,60,配發,台積電,現金,股利,推估,166,億元,外資,呼應,4.5,來到,元月,個別,2330,9470,70,149,動向,創新,60,營收,蘋果,歷史,供應鏈,上市,新高,2.6,創下,台股,77"
"2015-03-23";"奈米,外資,2330,14,16,台積電,共識,成為,報告,20,歐台,短空,分析師,壓力,並未,兆豐,9800,外資,2330,大漲,奈米,外資,2330,14,16,台積電,共識,成為,報告,20,指數,震盪,三大,美股,收紅,加權指數,國際,今盤,大寶,台股,歐台,短空,分析師,壓力,並未,兆豐,9800,外資,2330,大漲,台股,均線,上漲,力拱台,Fed,匯集,亞股,外資,喊話,人氣,台股,均線,上漲,力拱台,Fed,匯集,亞股,外資,喊話,人氣,今早,紀錄,9758.0,15,9772,上漲,200,9859,前進,再創,指數,震盪,三大,美股,收紅,加權指數,國際,今盤,大寶,台股,今早,紀錄,9758.0,15,9772,上漲,200,9859,前進,再創"
"2015-01-16";"ADR,台積電,歐台期,摩台期,大漲,22.89,協理,不過,台積,8.69,一度,2330,亮麗,9200,3008,140,值股,加權指數,2400,一掃,股價,ECB,ADR,今開,動作,2330,台股,大漲,後續,僅漲,台積電,奈米,個股,坐鎮,2330,16,張忠謀,成績,外資,創紀錄,櫃買,指數,表現,市場,周線,周五,仍舊,三檔,個股,136.92,盤中,指期,全數,2330,上漲,亞股,9115,台股,不過,大盤,開出,上漲,大盤,台積,不過,2330,12.4,137,5.5,50,希臘,困派,200,台積,內容,15,國內外,不過,導至,25,櫃買,指數,表現,市場,周線,周五,仍舊,三檔,個股,136.92,盤中,指期,全數,2330,上漲,亞股,9115,台股,不過,大盤,亞股,但昨,25,之後,上漲,46,多空,大舉,15,45,一度,2330,亮麗,9200,3008,140,值股,加權指數,2400,一掃,股價,ECB,ADR,今開,動作,2330,台股,大漲,後續,僅漲,外資,創新,億美元,120,三大,16,啟動,不淡,壓過,台積電,半導體,產業,打群架,分析師,大陸,中國,外資,時代,有三大,佔領,出貨,純益,全年,20,優於,10.18,員工,台積電,大豐收,大單,半導體,產業,打群架,分析師,大陸,中國,外資,時代,有三大,佔領,台股,中小型,前後,作夢,創下,凌厲,台積,壓力,加權指數,來回,開出,上漲,大盤,台積,不過,2330,12.4,137,5.5,50,億元,營收,挹注,Apple,A8,2330,20,6.4,代工廠,628,出貨,純益,全年,20,優於,10.18,員工,台積電,大豐收,大單,外資,創新,億美元,120,三大,16,啟動,不淡,壓過,台積電,億元,營收,挹注,Apple,A8,2330,20,6.4,代工廠,628,台股,利多,一路下,億元,不漲,副總,2330,3008,1139,價差,台積電,億至,資本,支出,840,億元,億美元,半數,120,115,台股,中小型,前後,作夢,創下,凌厲,台積,壓力,加權指數,來回,希臘,困派,200,台積,內容,15,國內外,不過,導至,25,台股,利多,一路下,億元,不漲,副總,2330,3008,1139,價差,台積電,億至,資本,支出,840,億元,億美元,半數,120,115,ADR,台積電,歐台期,摩台期,大漲,22.89,協理,不過,台積,8.69,台積電,奈米,個股,坐鎮,2330,16,張忠謀,成績,外資,創紀錄,亞股,但昨,25,之後,上漲,46,多空,大舉,15,45"
