"time";"label"
2015-01-01;"flat"
2015-01-02;"flat"
2015-01-05;"down"
2015-01-06;"down"
2015-01-07;"up"
2015-01-08;"up"
2015-01-09;"down"
2015-01-12;"down"
2015-01-13;"up"
2015-01-14;"down"
2015-01-15;"up"
2015-01-16;"up"
2015-01-19;"up"
2015-01-20;"down"
2015-01-21;"up"
2015-01-22;"down"
2015-01-23;"up"
2015-01-26;"flat"
2015-01-27;"up"
2015-01-28;"down"
2015-01-29;"down"
2015-01-30;"down"
2015-02-02;"up"
2015-02-03;"up"
2015-02-04;"up"
2015-02-05;"down"
2015-02-06;"down"
2015-02-09;"down"
2015-02-10;"up"
2015-02-11;"up"
2015-02-12;"up"
2015-02-13;"flat"
2015-02-16;"flat"
2015-02-17;"flat"
2015-02-18;"flat"
2015-02-19;"flat"
2015-02-20;"flat"
2015-02-23;"flat"
2015-02-24;"up"
2015-02-25;"up"
2015-02-26;"down"
2015-02-27;"flat"
2015-03-02;"down"
2015-03-03;"up"
2015-03-04;"flat"
2015-03-05;"down"
2015-03-06;"down"
2015-03-09;"down"
2015-03-10;"down"
2015-03-11;"up"
2015-03-12;"up"
2015-03-13;"up"
2015-03-16;"down"
2015-03-17;"up"
2015-03-18;"up"
2015-03-19;"up"
2015-03-20;"flat"
2015-03-23;"down"
2015-03-24;"down"
2015-03-25;"down"
2015-03-26;"down"
2015-03-27;"down"
2015-03-30;"flat"
2015-03-31;"up"
2015-04-01;"down"
2015-04-02;"up"
2015-04-03;"flat"
2015-04-06;"flat"
2015-04-07;"down"
2015-04-08;"down"
2015-04-09;"flat"
2015-04-10;"up"
2015-04-13;"flat"
2015-04-14;"down"
2015-04-15;"down"
2015-04-16;"up"
2015-04-17;"down"
2015-04-20;"up"
2015-04-21;"down"
2015-04-22;"up"
2015-04-23;"up"
2015-04-24;"up"
2015-04-27;"down"
2015-04-28;"flat"
2015-04-29;"down"
2015-04-30;"down"
2015-05-01;"flat"
2015-05-04;"up"
2015-05-05;"down"
2015-05-06;"up"
2015-05-07;"down"
2015-05-08;"flat"
2015-05-11;"up"
2015-05-12;"down"
2015-05-13;"up"
2015-05-14;"down"
2015-05-15;"up"
2015-05-18;"flat"
2015-05-19;"flat"
2015-05-20;"flat"
2015-05-21;"down"
2015-05-22;"flat"
2015-05-25;"up"
2015-05-26;"down"
2015-05-27;"down"
2015-05-28;"up"
2015-05-29;"down"
2015-06-01;"down"
2015-06-02;"down"
2015-06-03;"down"
2015-06-04;"down"
2015-06-05;"down"
2015-06-08;"down"
2015-06-09;"up"
2015-06-10;"up"
2015-06-11;"up"
2015-06-12;"up"
2015-06-15;"down"
2015-06-16;"down"
2015-06-17;"up"
2015-06-18;"down"
2015-06-19;"flat"
2015-06-22;"flat"
2015-06-23;"up"
2015-06-24;"up"
2015-06-25;"up"
2015-06-26;"down"
2015-06-29;"down"
2015-06-30;"up"
2015-07-01;"up"
2015-07-02;"up"
2015-07-03;"up"
2015-07-06;"down"
2015-07-07;"flat"
2015-07-08;"down"
2015-07-09;"down"
2015-07-10;"flat"
2015-07-13;"up"
2015-07-14;"flat"
2015-07-15;"flat"
2015-07-16;"down"
2015-07-17;"up"
2015-07-20;"down"
2015-07-21;"up"
2015-07-22;"down"
2015-07-23;"down"
2015-07-24;"up"
2015-07-27;"down"
2015-07-28;"flat"
2015-07-29;"up"
2015-07-30;"up"
2015-07-31;"up"
2015-08-03;"down"
2015-08-04;"up"
2015-08-05;"down"
2015-08-06;"flat"
2015-08-07;"down"
2015-08-10;"down"
2015-08-11;"up"
2015-08-12;"down"
2015-08-13;"down"
2015-08-14;"down"
2015-08-17;"down"
2015-08-18;"up"
2015-08-19;"down"
2015-08-20;"up"
2015-08-21;"down"
2015-08-24;"down"
2015-08-25;"up"
2015-08-26;"down"
2015-08-27;"up"
2015-08-28;"up"
2015-08-31;"up"
2015-09-01;"down"
2015-09-02;"up"
2015-09-03;"up"
2015-09-04;"down"
2015-09-07;"down"
2015-09-08;"up"
2015-09-09;"up"
2015-09-10;"down"
2015-09-11;"up"
2015-09-14;"flat"
2015-09-15;"down"
2015-09-16;"up"
2015-09-17;"up"
2015-09-18;"up"
2015-09-21;"down"
2015-09-22;"down"
2015-09-23;"down"
2015-09-24;"up"
2015-09-25;"flat"
2015-09-28;"flat"
2015-09-29;"flat"
2015-09-30;"up"
2015-10-01;"up"
2015-10-02;"down"
2015-10-05;"up"
2015-10-06;"up"
2015-10-07;"up"
2015-10-08;"up"
2015-10-09;"flat"
2015-10-12;"up"
2015-10-13;"down"
2015-10-14;"down"
2015-10-15;"up"
2015-10-16;"down"
2015-10-19;"up"
2015-10-20;"up"
2015-10-21;"down"
2015-10-22;"down"
2015-10-23;"up"
2015-10-26;"flat"
2015-10-27;"down"
2015-10-28;"down"
2015-10-29;"down"
2015-10-30;"flat"
2015-11-02;"up"
2015-11-03;"up"
2015-11-04;"up"
2015-11-05;"down"
2015-11-06;"down"
2015-11-10;"down"
2015-11-11;"down"
2015-11-12;"up"
2015-11-13;"down"
2015-11-16;"down"
2015-11-17;"up"
2015-11-18;"down"
2015-11-19;"up"
2015-11-20;"up"
2015-11-23;"flat"
2015-11-24;"down"
2015-11-25;"up"
2015-11-26;"up"
2015-11-27;"down"
2015-11-30;"flat"
2015-12-01;"up"
2015-12-02;"flat"
2015-12-03;"flat"
2015-12-04;"down"
2015-12-07;"up"
2015-12-08;"down"
2015-12-09;"down"
2015-12-10;"up"
2015-12-11;"down"
2015-12-14;"down"
2015-12-15;"down"
2015-12-16;"up"
2015-12-17;"up"
2015-12-18;"down"
2015-12-21;"down"
2015-12-22;"up"
2015-12-23;"down"
2015-12-24;"up"
2015-12-28;"up"
2015-12-29;"down"
2015-12-30;"up"
2015-12-31;"up"
2016-01-01;"flat"
2016-01-04;"down"
2016-01-05;"down"
2016-01-06;"down"
2016-01-07;"down"
2016-01-08;"up"
2016-01-11;"down"
2016-01-12;"flat"
2016-01-13;"up"
