"flat";"down";"up"
"0.16";0.5;0.25;0.25
"0.41";0.5;0.25;0.25
"0.48";0.5;0.25;0.25
"0.55";0.4;0.4;0.2
"000";0.208333333333333;0.333333333333333;0.458333333333333
"002";0.6;0.2;0.2
"1.02";0.333333333333333;0.166666666666667;0.5
"1.04";0.5;0.25;0.25
"1.07";0.428571428571429;0.285714285714286;0.285714285714286
"1.32";0.4;0.4;0.2
"1.5";0.307692307692308;0.153846153846154;0.538461538461538
"10";0.143712574850299;0.335329341317365;0.520958083832335
"10.06";0.428571428571429;0.285714285714286;0.285714285714286
"10.4";0.375;0.25;0.375
"10.8";0.5;0.25;0.25
"100";0.259259259259259;0.259259259259259;0.481481481481481
"10002.58";0.4;0.4;0.2
"1001";0.5;0.25;0.25
"11";0.134615384615385;0.384615384615385;0.480769230769231
"1166";0.5;0.25;0.25
"119";0.4;0.2;0.4
"12";0.0609756097560976;0.524390243902439;0.414634146341463
"12.43";0.5;0.25;0.25
"12.56";0.4;0.4;0.2
"122";0.375;0.25;0.375
"124";0.25;0.416666666666667;0.333333333333333
"13";0.1875;0.46875;0.34375
"13.8";0.375;0.25;0.375
"1324";0.5;0.25;0.25
"1393";0.6;0.2;0.2
"14";0.166666666666667;0.333333333333333;0.5
"15";0.2;0.4;0.4
"150";0.428571428571429;0.142857142857143;0.428571428571429
"1560";0.428571428571429;0.285714285714286;0.285714285714286
"16";0.0769230769230769;0.395604395604396;0.527472527472527
"160";0.235294117647059;0.176470588235294;0.588235294117647
"17";0.193548387096774;0.451612903225806;0.354838709677419
"18";0.125;0.375;0.5
"18.79";0.5;0.25;0.25
"19";0.15;0.4;0.45
"2.5";0.333333333333333;0.25;0.416666666666667
"2.52";0.428571428571429;0.285714285714286;0.285714285714286
"20";0.230769230769231;0.384615384615385;0.384615384615385
"200";0.134615384615385;0.461538461538462;0.403846153846154
"2000";0.2;0.533333333333333;0.266666666666667
"2007";0.230769230769231;0.153846153846154;0.615384615384615
"2013";0.222222222222222;0.518518518518518;0.259259259259259
"2014";0.266666666666667;0.288888888888889;0.444444444444444
"2015";0.217391304347826;0.456521739130435;0.326086956521739
"2016";0.277777777777778;0.444444444444444;0.277777777777778
"2040";0.375;0.375;0.25
"2070";0.375;0.375;0.25
"2125.05";0.375;0.25;0.375
"22";0.107142857142857;0.178571428571429;0.714285714285714
"23";0.35;0.35;0.3
"2303";0.111111111111111;0.296296296296296;0.592592592592593
"2311";0.125;0.3125;0.5625
"2317";0.333333333333333;0.288888888888889;0.377777777777778
"2330";0.134883720930233;0.395348837209302;0.469767441860465
"2379";0.25;0.5;0.25
"2395";0.5;0.25;0.25
"24";0.315789473684211;0.315789473684211;0.368421052631579
"24.96";0.5;0.25;0.25
"2409";0.166666666666667;0.222222222222222;0.611111111111111
"2449";0.5;0.25;0.25
"2454";0.208333333333333;0.333333333333333;0.458333333333333
"2474";0.428571428571429;0.285714285714286;0.285714285714286
"25";0.176470588235294;0.441176470588235;0.382352941176471
"25.7";0.5;0.25;0.25
"2592.93";0.4;0.2;0.4
"26";0.153846153846154;0.538461538461538;0.307692307692308
"27";0.447368421052632;0.394736842105263;0.157894736842105
"28";0.117647058823529;0.588235294117647;0.294117647058824
"28.99";0.5;0.25;0.25
"2880";0.5;0.25;0.25
"2888";0.555555555555556;0.222222222222222;0.222222222222222
"29";0.206896551724138;0.448275862068966;0.344827586206897
"29.66";0.5;0.25;0.25
"2912";0.4;0.2;0.4
"3.1";0.363636363636364;0.454545454545455;0.181818181818182
"3.27";0.5;0.25;0.25
"3.4";0.333333333333333;0.222222222222222;0.444444444444444
"3.8";0.230769230769231;0.384615384615385;0.384615384615385
"3.82";0.5;0.25;0.25
"3.88";0.5;0.25;0.25
"30";0.15;0.325;0.525
"300";0.105263157894737;0.447368421052632;0.447368421052632
"3008";0.09375;0.390625;0.515625
"31";0.12;0.68;0.2
"321";0.5;0.25;0.25
"3264";0.4;0.4;0.2
"3289";0.428571428571429;0.285714285714286;0.285714285714286
"33.2";0.6;0.2;0.2
"3374";0.222222222222222;0.444444444444444;0.333333333333333
"3474";0.5;0.333333333333333;0.166666666666667
"3532";0.3;0.3;0.4
"3587";0.428571428571429;0.285714285714286;0.285714285714286
"36";0.3;0.2;0.5
"3658";0.135135135135135;0.243243243243243;0.621621621621622
"376.5";0.428571428571429;0.285714285714286;0.285714285714286
"4.38";0.5;0.25;0.25
"4.5";0.173913043478261;0.217391304347826;0.608695652173913
"4.9";0.3;0.5;0.2
"400";0.142857142857143;0.428571428571429;0.428571428571429
"41";0.375;0.25;0.375
"410";0.428571428571429;0.285714285714286;0.285714285714286
"42";0.352941176470588;0.235294117647059;0.411764705882353
"450";0.363636363636364;0.454545454545455;0.181818181818182
"460";0.428571428571429;0.285714285714286;0.285714285714286
"47";0.375;0.375;0.25
"4736";0.428571428571429;0.285714285714286;0.285714285714286
"478";0.428571428571429;0.285714285714286;0.285714285714286
"4938";0.285714285714286;0.5;0.214285714285714
"497";0.428571428571429;0.285714285714286;0.285714285714286
"5.25";0.428571428571429;0.285714285714286;0.285714285714286
"5.48";0.428571428571429;0.285714285714286;0.285714285714286
"500";0.293103448275862;0.293103448275862;0.413793103448276
"503";0.444444444444444;0.333333333333333;0.222222222222222
"51.6";0.5;0.25;0.25
"52.8";0.5;0.25;0.25
"54.2";0.5;0.25;0.25
"5443";0.428571428571429;0.285714285714286;0.285714285714286
"59.84";0.5;0.25;0.25
"593";0.4;0.4;0.2
"6.04";0.428571428571429;0.285714285714286;0.285714285714286
