"label";"keyWords"
"down";"台股,曾銘宗為,匯市,影響,32,大關,9200,期間,挫創,14.95,台股,曾銘宗為,匯市,影響,32,大關,9200,期間,挫創,14.95,題材,證券,數據,十檔,Data,台股,報告,商機,2330,Big,題材,證券,數據,十檔,Data,台股,報告,商機,2330,Big"
"down";"華航,長榮,油價,國際,2618,低價,來到,2.,50,前波,內資,CES,2330,三大,主題,台積電,台股,圍繞,USB3,做夢,OI,履約,變化,Call,900,Put,600,最大,40,919,盤中,權證,大盤,台股,半年線,3693,大漲,回測,200,凱基,盤中,2409,200,價外,086218,0.55,元大,4.51,則是,1.43,盤中,2409,200,價外,086218,0.55,元大,4.51,則是,1.43,權值,新年,上攻,呈現,勢必,不佳台,4938,但台,和碩,2330,盤中,權證,大盤,台股,半年線,3693,大漲,回測,200,凱基,權值,新年,上攻,呈現,勢必,不佳台,4938,但台,和碩,2330,內資,CES,2330,三大,主題,台積電,台股,圍繞,USB3,做夢,OI,履約,變化,Call,900,Put,600,最大,40,919,華航,長榮,油價,國際,2618,低價,來到,2.,50,前波"
"up";"台股,9045,出現,叩關,儘管,13,不會,平盤,喊話,9100,台股,9045,出現,叩關,儘管,13,不會,平盤,喊話,9100,二合一,宏碁,Pro,Surface,中央處理器,2357,一口氣,市場,17,Core,疑慮,國際,億元,希臘,9048,分析師,台股,180,一口氣,外資,台股,億元,9048,一口氣,分析師,180,1101,動盪,受歐,225,二合一,宏碁,Pro,Surface,中央處理器,2357,一口氣,市場,17,Core,台股,外資,賣超,現貨,下成,單日,180,了結,國際,億元,外資,台積,兩年,11,14,儼然,不過,亞系,台積今,分別,台股,外資,賣超,現貨,下成,單日,180,了結,國際,億元,疑慮,國際,億元,希臘,9048,分析師,台股,180,一口氣,外資,外資,台積,兩年,11,14,儼然,不過,亞系,台積今,分別,證券,上櫃,群益,笙泉,金鼎,科技,君悅,大飯店,IC,主辦,證券,上櫃,群益,笙泉,金鼎,科技,君悅,大飯店,IC,主辦,台股,億元,9048,一口氣,分析師,180,1101,動盪,受歐,225"
"up";"外資,國際,資金,台積電,大舉,台股,大權,多頭,成為,2330,全台,用水,文清,協理,台灣,分區,台新,台股,分析師,啟動,電子,EICC,產業,台積電,聯盟,社會,2330,成為,強調,企業,外資,營收,2330,台積電,創新,2.6,報告,不過,季增,台積,產品,笙泉,夥伴,上櫃,台積,32,位元,和物,MCU,將於,外資,帶動,台股,元旦假期,3481,2330,出現,之後,其實,2409,營收,EMS,月光,第四季,代工,去年,新高,2311,台幣,766.45,外資,營收,2330,台積電,創新,2.6,報告,不過,季增,台積,權證,槓桿,價內,四個,價外,三至,10,建議,機率,以內,全台,用水,文清,協理,台灣,分區,台新,台股,分析師,啟動,失土,74,中國,9200,不斷,9154,2015,一掃,亞股,9100,電子,EICC,產業,台積電,聯盟,社會,2330,成為,強調,企業,權證,槓桿,價內,四個,價外,三至,10,建議,機率,以內,營收,EMS,月光,第四季,代工,去年,新高,2311,台幣,766.45,外資,帶動,台股,元旦假期,3481,2330,出現,之後,其實,2409,失土,74,中國,9200,不斷,9154,2015,一掃,亞股,9100,產品,笙泉,夥伴,上櫃,台積,32,位元,和物,MCU,將於,外資,國際,資金,台積電,大舉,台股,大權,多頭,成為,2330"
"down";"CES,聯網,Gartner,市調,嶄新,成為,暢旺,PC,更將,新興,台灣,9300,台幣,企業,32,低於,因為,增強,9600,儘管,留意,機會,空間,波動,亦可,交易,也須,USB3,台積電,15,CES,聯網,Gartner,市調,嶄新,成為,暢旺,PC,更將,新興,084488,C1,凱基,權證,月光,不墜,2330,台積電,16,奈米,留意,機會,空間,波動,亦可,交易,也須,USB3,台積電,15,084488,C1,凱基,權證,月光,不墜,2330,台積電,16,奈米,台灣,9300,台幣,企業,32,低於,因為,增強,9600,儘管,成長,創意,3443,69.52,來到,TV,13,12.56,IC,億元,營收,盤中,去年,第四季,一度,2330,12,中聯,來到,122.04,情怯,31,台積,台股,五個,多數,大盤,共計,市場,外資,震盪,盤前,盤中,來到,低盤,9233,9187,9188,偏空,以平,美國,龍頭,12,周也將,台積電,不僅,市場,左右台,LED,打頭陣,電子展,列印,參與,亮點,友達,CES,2379,市場,權證,投資人,美國,龍頭,12,周也將,台積電,不僅,市場,左右台,LED,打頭陣,情怯,31,台積,台股,五個,多數,大盤,共計,市場,外資,12,報告,美國,投資人,就業,不強,影響,平盤,好壞,意願,營收,盤中,去年,第四季,一度,2330,12,中聯,來到,122.04,電子展,列印,參與,亮點,友達,CES,2379,市場,權證,投資人,12,報告,美國,投資人,就業,不強,影響,平盤,好壞,意願,成長,創意,3443,69.52,來到,TV,13,12.56,IC,億元,震盪,盤前,盤中,來到,低盤,9233,9187,9188,偏空,以平"
"up";"營收,電子,五哥,全數,俱樂部,6.52,列兆元,1.02,2014,同樣,盤中,外資,翻紅,李宗霖,指期,副理,周邊,指數,平倉,多單,蘋果,12,出爐,台股,台新,供應鏈,2015,強勢,接下來,投顧,營收,表現,產業,2014,30,上漲,兆元,500,創下,2015,營收,登上,全數,1.02,2014,俱樂部,6.52,列兆元,五哥,和碩,聯電,權證,反應,2303,價平,冠華,價內,呈現,價漲量,多頭,集團,兆元,排名,台塑,則在,4.91,1.6,2.1,中以,國內,營收,表現,產業,2014,30,上漲,兆元,500,創下,2015,集團,兆元,排名,台塑,則在,4.91,1.6,2.1,中以,國內,台積電,分析師,巴隆,劉華仁,加緊腳步,Maybank,事業,半導體,兩大,2330,聯電,權證,反應,2303,價平,冠華,價內,呈現,價漲量,多頭,2330,友達,台積,3008,2409,15,台積電,多場,多來,兩大,2330,友達,台積,3008,2409,15,台積電,多場,多來,兩大,蘋果,12,出爐,台股,台新,供應鏈,2015,強勢,接下來,投顧,上漲,最慘,914.,擴增,亞股,出現,53.5,歐元區,台股,9231.8,修正,交迫,出現,國內,37.28,內外,加權指數,影響,壓力,12,外資,台積電,2330,16,A9,不過,17,傳出,high,兩日,震盪,期貨,亞股,分析師,200,12,089,多單,10,對期,台積電,分析師,巴隆,劉華仁,加緊腳步,Maybank,事業,半導體,兩大,2330,營收,登上,全數,1.02,2014,俱樂部,6.52,列兆元,五哥,和碩,盤中,外資,翻紅,李宗霖,指期,副理,周邊,指數,平倉,多單,營收,電子,五哥,全數,俱樂部,6.52,列兆元,1.02,2014,同樣,外資,台積電,2330,16,A9,不過,17,傳出,high,兩日,震盪,期貨,亞股,分析師,200,12,089,多單,10,對期,上漲,最慘,914.,擴增,亞股,出現,53.5,歐元區,台股,9231.8,修正,交迫,出現,國內,37.28,內外,加權指數,影響,壓力,12"
"down";"營收,漢微科,億元,創下,季減,新高,佳績,15.87,35,12,OI,履約,900,Put,變化,400,Call,最大,300,60,價差,出現,14,來到,122578,9171,同樣,情況,大盤,79,營收,漢微科,億元,創下,季減,新高,佳績,15.87,35,12,盟立,訂單,機器人,億元,2464,加碼,6.4,000,交期,大陸,股價,股東,台積電,大關,失守,沈重,出脫,3.5,中東,壓力,盟立,訂單,機器人,億元,2464,加碼,6.4,000,交期,大陸,外資,台積,A9,則將,三星,召開,15,亞系,台積電,120,變數,登場,今早,國際,台積電,ECB,報告,寬鬆,國內外,會褐皮,股價,股東,台積電,大關,失守,沈重,出脫,3.5,中東,壓力,變數,登場,今早,國際,台積電,ECB,報告,寬鬆,國內外,會褐皮,OI,履約,900,Put,變化,400,Call,最大,300,60,外資,台積,A9,則將,三星,召開,15,亞系,台積電,120,價差,出現,14,來到,122578,9171,同樣,情況,大盤,79"
"up";"法說,展望,台積,3008,企業,分別,台股,大盤,來到,大立光,歐台期,指期,ADR,作收,幸台,分析師,尾盤,挫低,收斂,反應,台積電,第四季,去年,50,49.7,38,2225.21,39.6,6.44,40,陳昱宏,可說是,期貨,台積電,指期,內憂外患,幾天,大寶,弱勢,大盤,法說,103,15,加劇,半年線,台積電,台股,25,大立光,國內外,指數,台股,9200,不變,9205.43,25.20,186,GDP,中場,今早,台股,多空,分析師,51,危機,250,14,180,外資,100,國產,開始,觀光,集團,成長,推估,多角化,今年,SIGMU,動工,台積電,第四季,去年,50,49.7,38,2225.21,39.6,6.44,40,台股,多空,分析師,51,危機,250,14,180,外資,100,人數,900,2356,TPK,OTC,3673,2330,億元,2603,TPI,創辦人,勤業,企業倫理,企業,信賴,CSR,原則,國際,事務所,價值,指數,台股,9200,不變,9205.43,25.20,186,GDP,中場,今早,國產,開始,觀光,集團,成長,推估,多角化,今年,SIGMU,動工,人數,900,2356,TPK,OTC,3673,2330,億元,2603,TPI,歐台期,指期,ADR,作收,幸台,分析師,尾盤,挫低,收斂,反應,法說,103,15,加劇,半年線,台積電,台股,25,大立光,國內外,創辦人,勤業,企業倫理,企業,信賴,CSR,原則,國際,事務所,價值,陳昱宏,可說是,期貨,台積電,指期,內憂外患,幾天,大寶,弱勢,大盤,法說,展望,台積,3008,企業,分別,台股,大盤,來到,大立光"
"up";"ADR,台積電,歐台期,摩台期,大漲,22.89,協理,不過,台積,8.69,一度,2330,亮麗,9200,3008,140,值股,加權指數,2400,一掃,股價,ECB,ADR,今開,動作,2330,台股,大漲,後續,僅漲,台積電,奈米,個股,坐鎮,2330,16,張忠謀,成績,外資,創紀錄,櫃買,指數,表現,市場,周線,周五,仍舊,三檔,個股,136.92,盤中,指期,全數,2330,上漲,亞股,9115,台股,不過,大盤,開出,上漲,大盤,台積,不過,2330,12.4,137,5.5,50,希臘,困派,200,台積,內容,15,國內外,不過,導至,25,櫃買,指數,表現,市場,周線,周五,仍舊,三檔,個股,136.92,盤中,指期,全數,2330,上漲,亞股,9115,台股,不過,大盤,亞股,但昨,25,之後,上漲,46,多空,大舉,15,45,一度,2330,亮麗,9200,3008,140,值股,加權指數,2400,一掃,股價,ECB,ADR,今開,動作,2330,台股,大漲,後續,僅漲,外資,創新,億美元,120,三大,16,啟動,不淡,壓過,台積電,半導體,產業,打群架,分析師,大陸,中國,外資,時代,有三大,佔領,出貨,純益,全年,20,優於,10.18,員工,台積電,大豐收,大單,半導體,產業,打群架,分析師,大陸,中國,外資,時代,有三大,佔領,台股,中小型,前後,作夢,創下,凌厲,台積,壓力,加權指數,來回,開出,上漲,大盤,台積,不過,2330,12.4,137,5.5,50,億元,營收,挹注,Apple,A8,2330,20,6.4,代工廠,628,出貨,純益,全年,20,優於,10.18,員工,台積電,大豐收,大單,外資,創新,億美元,120,三大,16,啟動,不淡,壓過,台積電,億元,營收,挹注,Apple,A8,2330,20,6.4,代工廠,628,台股,利多,一路下,億元,不漲,副總,2330,3008,1139,價差,台積電,億至,資本,支出,840,億元,億美元,半數,120,115,台股,中小型,前後,作夢,創下,凌厲,台積,壓力,加權指數,來回,希臘,困派,200,台積,內容,15,國內外,不過,導至,25,台股,利多,一路下,億元,不漲,副總,2330,3008,1139,價差,台積電,億至,資本,支出,840,億元,億美元,半數,120,115,ADR,台積電,歐台期,摩台期,大漲,22.89,協理,不過,台積,8.69,台積電,奈米,個股,坐鎮,2330,16,張忠謀,成績,外資,創紀錄,亞股,但昨,25,之後,上漲,46,多空,大舉,15,45"
"up";"台股,現貨,歐美,期貨,上周五,出現,呈現,分析師,在期,上漲,指期,高點,大漲,今早,之後,9260,出現,145,來到,投資,股價,作多,兩日,協虞逸真,15,價平到,10,台積電,台股,2330,指期,高點,大漲,今早,之後,9260,出現,145,來到,投資,台股,上漲,半年線,台積電,偏空,200,16,國際,回測,仍須,股價,作多,兩日,協虞逸真,15,價平到,10,台積電,台股,2330,國際,反彈,分析師,500,16,勁揚,台股,企業,原油價格,優於,台股,國際,圓夢,台積電,動盪,兩隻,希臘,投資人,大立,光法,國際,股市,加持,外資,三大,反彈,強勢,台股,投顧,16,法說,28,上漲,並以,2330,139.5,即將,1.28,召開,作收,台積電,大盤,16,回補,升勢,外資,已散,市場,大立光,15,台股,上漲,半年線,台積電,偏空,200,16,國際,回測,仍須,台股,現貨,歐美,期貨,上周五,出現,呈現,分析師,在期,上漲,國際,反彈,分析師,500,16,勁揚,台股,企業,原油價格,優於,台積電,大盤,16,回補,升勢,外資,已散,市場,大立光,15,國際,股市,加持,外資,三大,反彈,強勢,台股,投顧,16,台股,國際,圓夢,台積電,動盪,兩隻,希臘,投資人,大立,光法,硬體,描繪,常態,平的,新聞獎,普立茲,書中,收購,湯馬斯,時至今日,下車,26,138,2330,16,139,來看,優於,億元,上漲,下車,26,138,2330,16,139,來看,優於,億元,上漲,硬體,描繪,常態,平的,新聞獎,普立茲,書中,收購,湯馬斯,時至今日,法說,28,上漲,並以,2330,139.5,即將,1.28,召開,作收"
